A,C,P,B,L,R,LA
3,1,60,14.864,150.2,1,0
3,1,66,16.7384,150,1,1
3,1,78,18.6584,150,1,2
3,1,81,18.6975,152,1,3
3,1,87,18.9683,461,0.84,4
3,1,90,21.9002,725.8,0.72,5
3,2,60,12.8984,110,1,6
3,2,66,16.7515,120,1,7
3,2,78,18.717,113.6,1,8
3,2,84,24.9545,110.4,1,9
3,2,87,19.2368,120,1,10
3,2,90,28.782,200,1,11
3,3,60,18.7593,189,0.96,12
3,3,81,20.5915,100,1,13
3,3,84,19.9648,161.4,1,14
3,3,87,23.939,160.4,1,15
3,3,90,27.067,380.2,0.9,16
3,4,81,18.8773,196.6,0.96,17
3,4,84,23.8414,639.2,0.74,18
3,4,87,32.8603,201.8,1,19
3,4,90,35.4107,220,1,20
3,5,87,35.5441,183,1,21
3,5,90,42.7586,220,1,22
3,6,84,27.8539,1256,0.4,23
3,6,87,33.1344,216.8,0.98,24
3,6,90,42.0506,240.2,1,25
3,7,84,30.0586,171.4,1,26
3,7,87,33.52,262.6,0.96,27
3,7,90,40.7732,432,0.92,28
3,8,78,23.5925,167.4,0.98,29
3,8,81,22.1858,170.4,1,30
3,8,84,31.0908,170,1,31
3,8,90,43.4326,402.4,0.94,32
2,1,60,14.1807,565.2,0.76,33
2,1,66,16.0519,944,0.56,34
2,1,78,17.9849,223.4,0.94,35
2,1,81,17.9979,261.2,0.92,36
2,1,87,18.1289,120,1,37
2,1,90,20.7541,197.6,0.98,38
2,2,60,12.3257,245,0.92,39
2,2,66,16.0909,273.2,0.9,40
2,2,78,18.0337,499.4,0.78,41
2,2,84,24.281,238.4,0.92,42
2,2,87,18.5958,1011,0.52,43
2,2,90,27.6903,812.6,0.64,44
2,3,60,18.2614,285.8,0.9,45
2,3,84,19.0367,110,1,46
2,3,87,23.0402,186.2,0.96,47
2,3,90,25.8191,140,1,48
2,4,81,18.2753,233.8,0.92,49
2,4,84,23.0727,115.4,1,50
2,4,87,31.7589,177.2,0.98,51
2,4,90,34.2825,161,1,52
2,5,87,34.1653,270.4,0.92,53
2,5,90,41.3627,187.8,0.98,54
2,6,84,26.8964,100.6,1,55
2,6,87,31.9378,134.2,1,56
2,6,90,40.4749,160,1,57
2,7,84,29.1337,120,1,58
2,7,87,32.2551,140,1,59
2,7,90,38.9665,337,0.92,60
2,8,75,18.3054,90.2,1,61
2,8,78,22.84,740.2,0.66,62
2,8,81,21.3422,133.2,1,63
2,8,84,30.0415,170.2,0.98,64
2,8,90,41.6837,258.8,0.98,65
1,1,60,7.04515,518,0.76,66
1,1,66,10.8461,557,0.74,67
1,1,78,10.8884,401,0.82,68
1,1,81,8.99443,401,0.82,69
1,1,90,11.2731,176.4,0.94,70
