A,C,P,B,L,R,LA
3,1,60,14.9356,178.067,0.96,0
3,1,60,15.0234,156.8,1,0
3,1,60,15.0136,168.133,0.98,0
3,1,60,14.9811,194.6,0.94,0
3,1,60,14.9844,221.267,0.9,0
3,1,60,14.9844,178.867,0.96,0
3,1,60,14.9844,180.267,0.96,0
3,1,60,14.9974,178.867,0.96,0
3,1,60,14.9681,178.867,0.96,0
3,1,60,14.9778,178.467,0.96,0
3,1,60,14.9681,165.933,0.98,0
3,1,60,14.9844,166.333,0.98,0
3,1,60,14.9811,166.533,0.98,0
3,1,60,15.0201,192.4,0.94,0
3,1,60,14.9746,166.933,0.98,0
3,1,60,14.9941,220.267,0.92,0
3,1,60,15.0136,222.667,0.92,0
3,1,60,15.0039,167.133,0.98,0
3,1,60,14.9551,191,0.94,0
3,1,60,14.9811,180.267,0.96,0
3,1,60,15.0201,181.067,0.96,0
3,1,60,15.0071,261.267,0.88,0
3,1,60,15.0136,182.867,0.96,0
3,1,60,15.0006,205.933,0.92,0
3,1,60,14.9616,165.933,0.98,0
3,1,60,14.9811,164.733,0.98,0
3,1,60,14.9811,166.733,0.98,0
3,1,60,14.9844,181.667,0.96,0
3,1,60,14.9844,181.905,0.94,0
3,1,60,15.0136,194,0.94,0
3,1,60,15.0201,169.533,0.98,0
3,1,60,15.0462,237,0.9,0
3,1,60,15.0299,181.905,0.94,0
3,1,60,15.0071,180.667,0.96,0
3,1,60,15.0039,156,1,0
3,1,60,14.9648,179.467,0.96,0
3,1,60,15.0169,151.6,1,0
3,1,60,15.0006,207.333,0.92,0
3,1,60,14.9876,165.333,0.98,0
3,1,60,15.0136,208.933,0.94,0
3,1,60,15.0201,170.333,0.98,0
3,1,60,14.9778,167.687,0.96,0
3,1,60,14.9746,235.51,0.86,0
3,1,60,14.9713,166.333,0.98,0
3,1,60,15.0201,194.4,0.94,0
3,1,60,15.0071,181.467,0.96,0
3,1,60,15.0169,153,1,0
3,1,60,14.9681,165.933,0.98,0
3,1,60,14.9811,152.4,1,0
3,1,60,14.9616,181.497,0.94,0
3,1,60,14.9876,206.933,0.92,0
3,1,60,14.9909,180.467,0.96,0
3,1,60,15.0071,207.333,0.92,0
3,1,60,14.929,192.4,0.94,0
3,1,60,15.0332,194.4,0.94,0
3,1,60,14.9909,220.667,0.92,0
3,1,60,14.9778,167.133,0.98,0
3,1,60,15.0201,205.733,0.94,0
3,1,60,15.0527,157.8,1,0
3,1,60,14.9941,207.333,0.92,0
3,1,60,14.9909,220.867,0.92,0
3,1,60,15.0462,169.333,0.98,0
3,1,60,14.9876,179.067,0.96,0
3,1,60,14.9909,245.733,0.88,0
3,1,60,14.9713,192,0.94,0
3,1,60,15.0039,166.933,0.98,0
3,1,60,14.9648,166.533,0.98,0
3,1,60,15.0039,179.867,0.96,0
3,1,60,14.9941,154,1,0
3,1,60,15.0397,194.8,0.94,0
