A,C,P,B,L,R,LA
3,1,60,14.9909,155.417,0.96,0
3,1,60,14.9974,155,0.92,0
3,1,60,14.9974,153.673,0.98,0
3,1,60,14.9746,154.2,1,0
3,1,60,14.9746,155.106,0.94,0
3,1,60,14.9681,153.488,0.86,0
3,1,60,14.9486,152.917,0.96,0
3,1,60,14.9844,153.125,0.96,0
3,1,60,14.9909,153.469,0.98,0
3,1,60,14.9844,154.2,1,0
3,1,60,15.0332,151.667,0.96,0
3,1,60,14.9876,152.653,0.98,0
3,1,60,15.0234,151.304,0.92,0
3,1,60,14.9778,152.857,0.98,0
3,1,60,14.9421,152.5,0.96,0
3,1,60,14.9551,152.093,0.86,0
3,1,60,15.0104,153.75,0.96,0
3,1,60,15.0071,155.625,0.96,0
3,1,60,15.0006,153.8,1,0
3,1,60,15.0234,153.4,1,0
3,1,60,14.9616,154.167,0.96,0
3,1,60,15.0169,155.714,0.98,0
3,1,60,14.9681,152.653,0.98,0
3,1,60,14.9811,153.2,1,0
3,1,60,14.9778,152.34,0.94,0
3,1,60,14.9778,153.265,0.98,0
3,1,60,14.9844,152.8,1,0
3,1,60,14.9583,151.2,1,0
3,1,60,14.9583,152.917,0.96,0
3,1,60,15.0039,152.889,0.9,0
3,1,60,14.9551,152.292,0.96,0
3,1,60,15.0039,154.2,1,0
3,1,60,14.9941,152.2,1,0
3,1,60,14.9941,155.319,0.94,0
3,1,60,14.9388,152.041,0.98,0
3,1,60,14.9844,153.673,0.98,0
3,1,60,15.0397,156.17,0.94,0
3,1,60,14.9876,153.265,0.98,0
3,1,60,14.9941,156.087,0.92,0
3,1,60,14.9811,155.217,0.92,0
3,1,60,15.0266,152.857,0.98,0
3,1,60,14.9681,153.061,0.98,0
3,1,60,15.0006,154.167,0.96,0
3,1,60,14.9648,151.633,0.98,0
3,1,60,15.0201,155.417,0.96,0
3,1,60,15.0006,152.041,0.98,0
3,1,60,15.0006,152.979,0.94,0
3,1,60,14.9323,152.826,0.92,0
3,1,60,14.9388,151.042,0.96,0
3,1,60,14.9713,153.111,0.9,0
