A,C,P,B,L,R,LA
1,1,90,11.2146,60,0.7,70
1,1,90,11.2146,60,0.78,70
1,1,90,11.2569,60,0.82,70
1,1,90,11.2308,60,0.72,70
1,1,90,11.2243,60,0.76,70
1,1,90,11.2178,60,0.74,70
1,1,90,11.2308,60,0.76,70
1,1,90,11.2178,60,0.76,70
1,1,90,11.2504,60,0.82,70
1,1,90,11.2113,60,0.72,70
1,1,90,11.2699,60,0.82,70
1,1,90,11.2113,60,0.7,70
1,1,90,11.2536,60,0.8,70
1,1,90,11.2276,60,0.76,70
1,1,90,11.2146,60,0.74,70
1,1,90,11.182,60,0.72,70
1,1,90,11.2243,60,0.76,70
1,1,90,11.2569,60,0.82,70
1,1,90,11.2048,60,0.74,70
1,1,90,11.2113,60,0.76,70
1,1,90,11.2308,60,0.82,70
1,1,90,11.1918,60,0.68,70
1,1,90,11.2016,60,0.7,70
1,1,90,11.2081,60,0.74,70
1,1,90,11.2211,60,0.72,70
1,1,90,11.2146,60,0.72,70
1,1,90,11.2276,60,0.78,70
1,1,90,11.2243,60,0.76,70
1,1,90,11.1918,60,0.68,70
1,1,90,11.182,60,0.7,70
1,1,90,11.2211,60,0.72,70
1,1,90,11.2113,60,0.78,70
1,1,90,11.2569,60,0.82,70
1,1,90,11.2438,60,0.78,70
1,1,90,11.2341,60,0.78,70
1,1,90,11.2243,60,0.7,70
1,1,90,11.2146,60,0.7,70
1,1,90,11.2341,60,0.78,70
1,1,90,11.2146,60,0.78,70
1,1,90,11.2341,60,0.82,70
1,1,90,11.2081,60,0.72,70
1,1,90,11.2406,60,0.74,70
1,1,90,11.2081,60,0.7,70
1,1,90,11.2113,60,0.72,70
1,1,90,11.2178,60,0.72,70
1,2,66,8.90009,50,0.58,71
1,2,66,8.95539,50,0.7,71
1,2,66,8.90334,50,0.62,71
1,2,66,8.89358,50,0.56,71
1,2,66,8.8643,50,0.56,71
1,2,66,8.87731,50,0.52,71
1,2,66,8.93587,50,0.7,71
1,2,66,8.93262,50,0.56,71
1,2,66,8.87731,50,0.62,71
1,2,66,8.90659,50,0.66,71
1,2,66,8.89033,50,0.54,71
1,2,66,8.90985,50,0.66,71
1,2,66,8.90334,50,0.62,71
1,2,66,8.9131,50,0.64,71
1,2,66,8.86755,50,0.58,71
1,2,66,8.88707,50,0.56,71
1,2,66,8.93262,50,0.62,71
1,2,66,8.9196,50,0.7,71
1,2,66,8.95214,50,0.72,71
1,2,66,8.89683,50,0.6,71
1,2,66,8.91635,50,0.66,71
1,2,66,8.87406,50,0.5,71
1,2,66,8.93262,50,0.64,71
1,2,66,8.9196,50,0.66,71
1,2,66,8.91635,50,0.58,71
1,2,66,8.92611,50,0.7,71
1,2,66,8.89033,50,0.64,71
1,2,66,8.92936,50,0.68,71
1,2,66,8.90009,50,0.6,71
1,2,66,8.88707,50,0.6,71
1,2,66,8.90985,50,0.6,71
1,2,66,8.90985,50,0.66,71
1,2,66,8.94238,50,0.74,71
1,2,66,8.90985,50,0.64,71
1,2,66,8.8643,50,0.54,71
1,2,66,8.88707,50,0.56,71
1,2,66,8.89683,50,0.58,71
1,2,66,8.93262,50,0.74,71
1,2,66,8.88707,50,0.56,71
1,2,66,8.90985,50,0.6,71
1,2,66,8.87406,50,0.58,71
1,2,66,8.92286,50,0.68,71
1,2,66,8.87731,50,0.58,71
1,2,66,8.85454,50,0.48,71
1,2,66,8.90009,50,0.56,71
1,2,66,8.95864,50,0.76,71
1,2,66,8.88057,50,0.58,71
1,2,66,8.87731,50,0.54,71
1,2,66,8.9131,50,0.62,71
1,2,66,8.95864,50,0.8,71
1,2,66,8.83177,50,0.46,71
1,2,66,8.87081,50,0.46,71
