A,C,P,B,L,R,LA
2,1,78,17.9784,110.417,0.96,35
2,1,78,17.9719,110.417,0.96,35
2,1,78,17.9621,110.455,0.88,35
2,1,78,17.9621,111.395,0.86,35
2,1,78,17.9751,110,0.92,35
2,1,78,17.9654,110.465,0.86,35
2,1,78,17.9621,110.909,0.88,35
2,1,78,17.9556,110,0.88,35
2,1,78,17.9686,110.909,0.88,35
2,1,78,17.9751,110.93,0.86,35
2,1,78,17.9686,110,0.96,35
2,1,78,17.9556,110,0.88,35
2,1,78,17.9719,110,0.94,35
2,1,78,17.9881,110,0.94,35
2,1,78,17.9849,110,0.88,35
2,1,78,17.9914,110,0.92,35
2,1,78,17.9621,110,0.86,35
2,1,78,17.9654,110.87,0.92,35
2,1,78,17.9849,110.435,0.92,35
2,1,78,17.9784,110,0.94,35
2,1,78,17.9914,110,0.92,35
2,1,78,17.9816,110.417,0.96,35
2,1,78,17.9816,110,0.96,35
2,1,78,17.9979,110,0.98,35
2,1,78,17.9784,110.444,0.9,35
2,1,78,17.9914,110,0.88,35
2,1,78,17.9947,110.426,0.94,35
2,1,78,17.9621,110.444,0.9,35
2,1,78,17.9491,110,0.78,35
2,1,78,17.9719,110,0.94,35
2,1,78,17.9654,110,0.88,35
2,1,78,17.9816,110,0.96,35
2,1,78,17.9621,110,0.86,35
2,1,78,17.9556,110.909,0.88,35
2,1,78,17.9589,110,0.9,35
2,1,78,17.9654,110.87,0.92,35
2,1,78,17.9816,110.408,0.98,35
2,1,78,18.0044,110,0.9,35
2,1,78,17.9751,110.455,0.88,35
2,1,78,17.9784,110,0.9,35
2,1,78,17.9979,110,0.94,35
2,1,78,17.9654,110,0.9,35
2,1,78,17.9849,110.426,0.94,35
2,1,78,17.9719,111.333,0.9,35
2,1,78,17.9816,110,0.88,35
2,1,78,17.9491,110,0.9,35
2,1,78,17.9849,110.87,0.92,35
2,1,78,17.9947,110.444,0.9,35
2,1,78,17.9751,110.455,0.88,35
2,1,78,17.9589,110,0.9,35
2,1,78,17.9751,110.909,0.88,35
2,1,78,17.9849,110,0.9,35
2,1,78,17.9784,110.455,0.88,35
2,1,78,17.9719,110,0.86,35
2,1,78,17.9979,110,0.88,35
2,1,78,17.9816,110.889,0.9,35
2,1,78,17.9881,110,0.96,35
2,1,78,17.9654,110,0.9,35
2,1,78,17.9686,110,0.88,35
2,1,78,18.0044,110,0.9,35
2,1,81,18.0012,112.5,0.96,36
2,1,81,17.9849,110.426,0.94,36
2,1,81,17.9816,110.851,0.94,36
2,1,81,18.0012,111.25,0.96,36
2,1,81,17.9914,111.224,0.98,36
2,1,81,17.9947,111.304,0.92,36
2,1,81,17.9849,110.816,0.98,36
2,1,81,17.9914,111.25,0.96,36
2,1,81,17.9881,111.224,0.98,36
2,1,81,17.9784,110.889,0.9,36
2,1,81,17.9784,110.87,0.92,36
2,1,81,17.9784,111.25,0.96,36
2,1,81,17.9979,111.304,0.92,36
2,1,81,17.9719,111.702,0.94,36
2,1,81,17.9751,110.833,0.96,36
2,1,81,17.9784,110,0.94,36
2,1,81,18.0077,111.25,0.96,36
2,1,81,17.9654,110.435,0.92,36
2,1,81,17.9719,110.426,0.94,36
2,1,81,17.9784,110.417,0.96,36
2,1,81,17.9751,110.833,0.96,36
2,1,81,17.9784,110,0.96,36
2,1,81,17.9816,110.444,0.9,36
2,1,81,18.0207,111.304,0.92,36
2,1,81,17.9947,110.851,0.94,36
2,1,81,17.9686,111.304,0.92,36
2,1,81,18.0174,111.667,0.96,36
2,1,81,17.9849,110.408,0.98,36
2,1,81,17.9979,111.224,0.98,36
2,1,81,17.9947,112.174,0.92,36
2,1,81,17.9686,111.333,0.9,36
2,1,81,17.9654,110.444,0.9,36
2,1,81,18.0109,111.667,0.96,36
2,1,81,17.9784,110.444,0.9,36
2,1,81,17.9784,110,0.98,36
2,1,81,17.9556,110,0.94,36
2,1,81,17.9914,111.224,0.98,36
2,1,81,18.0239,110.435,0.92,36
2,1,81,17.9849,110.851,0.94,36
2,1,81,17.9881,110.833,0.96,36
2,1,81,17.9849,111.667,0.96,36
2,1,81,17.9914,110.833,0.96,36
2,1,81,18.0207,111.2,1,36
2,1,81,17.9589,110,0.92,36
2,1,81,17.9849,111.304,0.92,36
2,1,81,17.9589,110.909,0.88,36
2,1,81,18.0077,111.633,0.98,36
2,1,81,17.9914,111.2,1,36
2,1,81,17.9524,110.435,0.92,36
2,1,81,17.9686,111.277,0.94,36
2,1,81,17.9947,110.417,0.96,36
2,1,81,17.9816,110.435,0.92,36
2,1,81,17.9784,111.304,0.92,36
2,1,81,17.9881,110.87,0.92,36
2,1,81,17.9881,111.6,1,36
2,1,81,18.0077,111.224,0.98,36
2,1,81,17.9914,110.816,0.98,36
2,1,81,17.9914,111.702,0.94,36
2,1,81,18.0109,111.633,0.98,36
2,1,81,18.0174,111.304,0.92,36
2,1,81,17.9914,111.224,0.98,36
2,1,81,18.0044,110.426,0.94,36
2,1,81,17.9751,111.304,0.92,36
2,1,81,17.9784,110.426,0.94,36
2,1,81,17.9686,110.417,0.96,36
2,1,81,17.9621,111.304,0.92,36
2,1,81,17.9881,111.667,0.96,36
2,1,81,18.0174,110.816,0.98,36
2,1,81,17.9947,110.87,0.92,36
2,1,81,17.9621,110.417,0.96,36
2,1,81,17.9881,110.833,0.96,36
2,1,81,17.9621,110,0.92,36
2,1,81,17.9849,110.851,0.94,36
2,1,81,17.9816,112.553,0.94,36
2,1,81,17.9686,111.333,0.9,36
2,1,87,18.1874,120.417,0.96,37
2,1,87,18.1582,121.25,0.96,37
2,1,87,18.1874,122.449,0.98,37
2,1,87,18.1874,121.25,0.96,37
2,1,87,18.1777,120.417,0.96,37
2,1,87,18.1451,120.889,0.9,37
2,1,87,18.1647,120.851,0.94,37
2,1,87,18.1712,120.426,0.94,37
2,1,87,18.1647,120.816,0.98,37
2,1,87,18.2102,120.833,0.96,37
2,1,87,18.1647,120.408,0.98,37
2,1,87,18.22,121.6,1,37
2,1,87,18.2037,120,1,37
2,1,87,18.1712,121.25,0.96,37
2,1,87,18.1582,120.833,0.96,37
2,1,87,18.2102,120.816,0.98,37
2,1,87,18.1777,121.304,0.92,37
2,1,87,18.1874,120.851,0.94,37
2,1,87,18.2037,121.224,0.98,37
2,1,87,18.207,120.87,0.92,37
2,1,87,18.1679,121.25,0.96,37
2,1,87,18.1809,120.408,0.98,37
2,1,87,18.1907,120.8,1,37
2,1,87,18.2102,121.224,0.98,37
2,1,87,18.1744,120.435,0.92,37
2,1,87,18.1777,120,0.98,37
2,1,87,18.1777,120.833,0.96,37
2,1,87,18.1842,121.667,0.96,37
2,1,87,18.1712,120.8,1,37
2,1,87,18.1582,120.426,0.94,37
2,1,87,18.1809,120.408,0.98,37
2,1,87,18.1647,120,0.98,37
2,1,87,18.1647,120.833,0.96,37
2,1,87,18.1549,121.224,0.98,37
2,1,87,18.1679,120.435,0.92,37
2,1,87,18.1874,120,0.92,37
2,1,87,18.1712,120.816,0.98,37
2,1,87,18.1484,120.851,0.94,37
2,1,87,18.1549,120,0.96,37
2,1,87,18.1647,120.408,0.98,37
2,1,87,18.1712,121.277,0.94,37
2,1,87,18.1972,121.2,1,37
2,1,87,18.1712,121.25,0.96,37
2,1,87,18.1679,120.455,0.88,37
2,1,87,18.1451,121.2,1,37
2,1,87,18.1582,121.304,0.92,37
2,1,87,18.1809,120.426,0.94,37
2,1,87,18.1451,120.435,0.92,37
2,1,87,18.1549,120.4,1,37
2,1,87,18.22,121.25,0.96,37
2,1,87,18.1549,120,0.92,37
2,1,87,18.1907,121.277,0.94,37
2,1,87,18.1939,121.702,0.94,37
2,1,87,18.1517,120.435,0.92,37
2,1,87,18.1419,120.426,0.94,37
2,1,87,18.1777,120.408,0.98,37
2,1,87,18.1939,121.224,0.98,37
2,1,87,18.1744,120,0.98,37
2,1,87,18.1777,121.633,0.98,37
2,1,87,18.1712,120.833,0.96,37
2,1,87,18.1647,120.417,0.96,37
2,1,87,18.1907,121.224,0.98,37
2,1,87,18.2005,120.816,0.98,37
2,1,87,18.1647,121.25,0.96,37
2,1,87,18.1744,120.435,0.92,37
2,1,87,18.1907,121.224,0.98,37
2,1,87,18.1907,121.2,1,37
2,1,87,18.1614,121.277,0.94,37
2,1,87,18.1874,120.4,1,37
2,1,87,18.1614,120.833,0.96,37
2,1,87,18.1939,121.6,1,37
2,1,87,18.22,120.816,0.98,37
2,1,87,18.1614,120.408,0.98,37
2,1,87,18.1777,121.86,0.86,37
2,1,87,18.1679,121.224,0.98,37
2,1,90,20.7964,160.816,0.98,38
2,1,90,20.7834,162.041,0.98,38
2,1,90,20.7866,161.2,1,38
2,1,90,20.7801,160.816,0.98,38
2,1,90,20.8127,162,1,38
2,1,90,20.8062,161.224,0.98,38
2,1,90,20.8029,161.2,1,38
2,1,90,20.8062,161.277,0.94,38
2,1,90,20.7834,161.667,0.96,38
2,1,90,20.7866,161.2,1,38
2,1,90,20.8094,162.083,0.96,38
2,1,90,20.7899,162,1,38
2,1,90,20.8159,160.4,1,38
2,1,90,20.7866,161.224,0.98,38
2,1,90,20.8257,160.851,0.94,38
2,1,90,20.7736,160.816,0.98,38
2,1,90,20.7801,160.417,0.96,38
2,1,90,20.7899,160.4,1,38
2,1,90,20.7671,160.816,0.98,38
2,1,90,20.8159,160.8,1,38
2,1,90,20.7736,160.816,0.98,38
2,1,90,20.7964,161.25,0.96,38
2,1,90,20.8127,162.4,1,38
2,1,90,20.7834,161.2,1,38
2,1,90,20.7866,160.889,0.9,38
2,1,90,20.7964,160.4,1,38
2,1,90,20.8094,160.833,0.96,38
2,1,90,20.7736,160.8,1,38
2,1,90,20.7866,160.851,0.94,38
2,1,90,20.7964,162,1,38
2,1,90,20.7899,160.816,0.98,38
2,1,90,20.8062,160.8,1,38
2,1,90,20.8029,160.87,0.92,38
2,1,90,20.7801,160.833,0.96,38
2,1,90,20.7801,160,1,38
2,1,90,20.7866,162.041,0.98,38
2,1,90,20.7997,162,1,38
2,1,90,20.7769,160.816,0.98,38
2,1,90,20.7639,160.4,1,38
2,1,90,20.7801,160.851,0.94,38
2,1,90,20.8062,160.8,1,38
2,1,90,20.8159,160.426,0.94,38
2,1,90,20.7801,160.87,0.92,38
2,1,90,20.7769,160.408,0.98,38
