A,C,P,B,L,R,LA
2,4,90,34.2109,150.8,1,52
2,4,90,34.2239,151.25,0.96,52
2,4,90,34.2304,150.833,0.96,52
2,4,90,34.2044,150.833,0.96,52
2,4,90,34.2109,151.25,0.96,52
2,4,90,34.2109,150.417,0.96,52
2,4,90,34.2272,151.6,1,52
2,4,90,34.2109,151.2,1,52
2,4,90,34.2434,151.6,1,52
2,4,90,34.2109,150.4,1,52
2,4,90,34.2044,150.4,1,52
2,4,90,34.2109,150.8,1,52
2,4,90,34.1979,150.4,1,52
2,4,90,34.2011,150,1,52
2,4,90,34.2044,150,0.98,52
2,5,87,34.1946,121.702,0.94,53
2,5,87,34.2141,122.609,0.92,53
2,5,87,34.2174,121.2,1,53
2,5,87,34.2109,122.8,1,53
2,5,87,34.2206,121.224,0.98,53
2,5,87,34.2239,120.816,0.98,53
2,5,87,34.2304,122.857,0.98,53
2,5,87,34.2499,121.6,1,53
2,5,87,34.1881,120.816,0.98,53
2,5,87,34.2239,123.75,0.96,53
2,5,87,34.2076,122.041,0.98,53
2,5,87,34.2174,122.083,0.96,53
2,5,87,34.2272,122.857,0.98,53
2,5,87,34.1979,121.702,0.94,53
2,5,87,34.2076,121.633,0.98,53
2,5,87,34.2174,121.2,1,53
2,5,87,34.2174,122.5,0.96,53
2,5,87,34.2011,122.041,0.98,53
2,5,87,34.2206,120.8,1,53
2,5,87,34.2304,122.857,0.98,53
2,5,87,34.2044,121.633,0.98,53
2,5,87,34.2141,123.265,0.98,53
2,5,87,34.2304,122.128,0.94,53
2,5,87,34.2239,122.8,1,53
2,5,87,34.1914,121.364,0.88,53
2,5,87,34.2076,122.917,0.96,53
2,5,87,34.2011,121.667,0.96,53
2,5,87,34.2141,122.174,0.92,53
2,5,87,34.2076,122.5,0.96,53
2,5,87,34.2304,122.449,0.98,53
2,5,87,34.2434,122.609,0.92,53
2,5,87,34.2206,122.857,0.98,53
2,5,87,34.2434,121.224,0.98,53
2,5,87,34.2206,123.6,1,53
2,5,87,34.2044,122,1,53
2,5,87,34.2011,122,1,53
2,5,87,34.2369,122.979,0.94,53
2,5,87,34.2076,121.25,0.96,53
2,5,87,34.2337,122.5,0.96,53
2,5,87,34.2434,124.49,0.98,53
2,5,87,34.1979,120.4,1,53
2,5,87,34.2109,123.043,0.92,53
2,5,87,34.2337,122.917,0.96,53
2,5,87,34.2337,123.673,0.98,53
2,5,87,34.1979,122.449,0.98,53
2,5,87,34.1979,121.667,0.96,53
2,5,87,34.1946,122.917,0.96,53
2,5,87,34.2174,124.082,0.98,53
2,5,87,34.1946,122.979,0.94,53
2,5,87,34.2076,122,1,53
2,5,87,34.2239,122.083,0.96,53
2,5,87,34.2206,123.673,0.98,53
2,5,87,34.2109,121.6,1,53
2,5,87,34.2044,121.25,0.96,53
2,5,87,34.2174,123.478,0.92,53
2,5,87,34.2174,122.041,0.98,53
2,5,87,34.2109,121.277,0.94,53
2,5,87,34.2272,122.4,1,53
2,5,87,34.2141,121.224,0.98,53
2,5,87,34.2076,122.8,1,53
2,5,87,34.2011,121.277,0.94,53
2,5,87,34.2272,123.6,1,53
2,5,87,34.2239,123.673,0.98,53
2,5,87,34.2174,122.449,0.98,53
2,5,87,34.2272,123.75,0.96,53
2,5,87,34.2044,121.224,0.98,53
2,5,87,34.2109,121.702,0.94,53
2,5,87,34.2272,121.633,0.98,53
2,5,87,34.2076,123.478,0.92,53
2,5,87,34.2304,121.6,1,53
2,5,87,34.1979,120.426,0.94,53
2,5,87,34.1914,121.702,0.94,53
2,5,87,34.2467,125,0.96,53
2,5,87,34.2174,121.25,0.96,53
2,5,87,34.2109,122.917,0.96,53
2,5,90,41.3789,151.2,1,54
2,5,90,41.3789,150.833,0.96,54
2,5,90,41.3692,151.224,0.98,54
2,5,90,41.3757,151.224,0.98,54
2,5,90,41.4082,151.633,0.98,54
2,5,90,41.3952,151.2,1,54
2,5,90,41.3985,152,1,54
2,5,90,41.3692,150.8,1,54
2,5,90,41.3757,150.833,0.96,54
2,5,90,41.3627,150.816,0.98,54
2,5,90,41.4017,150.4,1,54
2,5,90,41.3887,150.4,1,54
2,5,90,41.3724,150.4,1,54
2,5,90,41.3789,152.041,0.98,54
2,5,90,41.3692,150,1,54
2,5,90,41.3789,150.8,1,54
2,5,90,41.3952,150.408,0.98,54
2,5,90,41.3822,151.2,1,54
2,5,90,41.3985,150.816,0.98,54
2,5,90,41.3789,151.224,0.98,54
2,5,90,41.3724,150.8,1,54
2,5,90,41.3789,150,1,54
2,5,90,41.3529,150,1,54
2,5,90,41.3789,151.224,0.98,54
2,5,90,41.3757,151.2,1,54
2,5,90,41.3724,151.25,0.96,54
2,5,90,41.3562,150.417,0.96,54
2,5,90,41.3692,151.2,1,54
2,5,90,41.3985,150.8,1,54
2,5,90,41.3659,150.833,0.96,54
2,5,90,41.3757,151.25,0.96,54
2,5,90,41.3692,150.8,1,54
2,5,90,41.3659,150.816,0.98,54
2,5,90,41.3789,151.277,0.94,54
2,5,90,41.3724,150.816,0.98,54
2,5,90,41.3692,150.8,1,54
2,5,90,41.3659,150,0.98,54
2,5,90,41.392,151.2,1,54
2,5,90,41.3855,152.083,0.96,54
2,5,90,41.3497,150.426,0.94,54
2,5,90,41.3692,150.833,0.96,54
2,5,90,41.392,151.224,0.98,54
2,5,90,41.3497,150,1,54
2,5,90,41.3985,151.6,1,54
2,5,90,41.392,152,1,54
2,5,90,41.3822,150.816,0.98,54
2,5,90,41.3529,150.4,1,54
2,5,90,41.3692,151.2,1,54
2,5,90,41.3855,150.8,1,54
2,5,90,41.392,151.224,0.98,54
2,5,90,41.3562,150.833,0.96,54
2,5,90,41.3432,150,0.96,54
2,5,90,41.3529,150.4,1,54
2,5,90,41.3659,150,1,54
